accuracy,auc,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,test_participants,train_participants
0.812553708,0.894139214,0.611675268,0.851362017,0.825485168,0.781413734,0.536336223,0.938003771,"5, 9, 12, 17, 18","7, 11"
0.79555868,0.880027363,0.523423534,0.850850519,0.828746208,0.766657187,0.420275478,0.958630671,"5, 9, 11, 17, 18","7, 12"
0.819303605,0.881619736,0.580770181,0.864331736,0.802006934,0.801217548,0.504002559,0.94026371,"5, 9, 11, 12, 18","7, 17"
0.807995001,0.880573487,0.648147685,0.848851941,0.83815725,0.774395867,0.550362371,0.944113774,"5, 9, 11, 12, 17","7, 18"
0.795696742,0.877099454,0.547701549,0.85352941,0.782801879,0.76911522,0.456016571,0.963185009,"5, 7, 12, 17, 18","9, 11"
0.797460142,0.87037247,0.540607605,0.858965173,0.781828063,0.792141149,0.44529535,0.94170534,"5, 7, 11, 17, 18","9, 12"
0.808879643,0.862383812,0.583170371,0.86467676,0.721135525,0.82398937,0.524130993,0.913527449,"5, 7, 11, 12, 18","9, 17"
0.809453319,0.878282778,0.629809783,0.856591369,0.797189533,0.796864174,0.548214702,0.928787399,"5, 7, 11, 12, 17","9, 18"
0.814059863,0.896040964,0.644366275,0.851561309,0.811670462,0.792601508,0.565819554,0.923246235,"5, 7, 9, 17, 18","11, 12"
0.840397513,0.902000851,0.692419013,0.868711791,0.801620689,0.836439398,0.644705011,0.907155784,"5, 7, 9, 12, 18","11, 17"
0.833350857,0.911412141,0.742000412,0.855558502,0.852731165,0.801757993,0.67445875,0.919213927,"5, 7, 9, 12, 17","11, 18"
0.833551116,0.883523348,0.639180693,0.875442416,0.80123228,0.83018321,0.561719479,0.928741942,"5, 7, 9, 11, 18","12, 17"
0.817859871,0.887706882,0.652824405,0.857394063,0.865559157,0.783150541,0.552795831,0.949956393,"5, 7, 9, 11, 17","12, 18"
0.842876731,0.8949551,0.714337461,0.871800724,0.82157103,0.829266428,0.649009572,0.919930087,"5, 7, 9, 11, 12","17, 18"
0.777112803,0.86880551,0.506082846,0.836690555,0.798147312,0.761482104,0.427099837,0.93274742,"11, 12, 17, 18","5, 7, 9"
0.80505477,0.904041702,0.64643844,0.834289119,0.838554069,0.761035518,0.581172322,0.926809395,"9, 12, 17, 18","5, 7, 11"
