accuracy,auc,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,test_participants,train_participants
0.7843543337054767,0.8468246775229099,0.6031425091885811,0.8267991208013051,0.8276881383950596,0.7466092275015414,0.5167047738449072,0.9292070239774314,"7, 9, 11, 12, 17, 18",5
0.7877027921925239,0.8421693165794139,0.5647947858716665,0.8378849055878276,0.7657220676346842,0.7672555379314235,0.4837405679458298,0.9269743394003944,"5, 9, 11, 12, 17, 18",7
0.7825186307566563,0.833354477969392,0.55925328366971,0.8410863385583475,0.6792935163788143,0.7845220883728435,0.4953538217997511,0.9098149857567912,"5, 7, 11, 12, 17, 18",9
0.8110538565981895,0.8769100839951772,0.6268313431061492,0.8492689815099362,0.8158566840834709,0.7804742582891245,0.5528235439083508,0.9348665724218911,"5, 7, 9, 12, 17, 18",11
0.8079270361503711,0.8486563172858149,0.6088425343326941,0.8510184946680086,0.7889529945453528,0.7942549656621045,0.5344598990899354,0.9202514076929624,"5, 7, 9, 11, 17, 18",12
0.7937951796713767,0.8489928828064129,0.5974244651518372,0.840877609400784,0.7242064223426617,0.7955759402575966,0.545879536542634,0.900661414967218,"5, 7, 9, 11, 12, 18",17
0.7850794609635304,0.8513681746850873,0.6455699801903981,0.82583480077329,0.7898335678699048,0.7551321993776717,0.555017741304663,0.9123998256461157,"5, 7, 9, 11, 12, 17",18
0.7809542434353927,0.8413511050108582,0.5737524357273507,0.8265651225936581,0.791100010893319,0.7434291761124284,0.4882093020209946,0.9341833314779862,"9, 11, 12, 17, 18","5, 7"
0.7869978651146263,0.8458233915233084,0.5573483017078619,0.8429984088190846,0.7585261665903046,0.7708683651296229,0.48152534341297415,0.9336896613386407,"7, 11, 12, 17, 18","5, 9"
0.808275945235818,0.8777556426412902,0.6729705105902986,0.8380597575005346,0.8305820932868236,0.7682063541202703,0.6061418869528679,0.9263433274140962,"7, 9, 12, 17, 18","5, 11"
0.7921131065929748,0.8565099345601282,0.5977270688036003,0.8338632357536853,0.8039044938288127,0.7614320684998925,0.5197702190614918,0.926644377130858,"7, 9, 11, 17, 18","5, 12"
0.8047069451992985,0.8568316973564288,0.6216896523037365,0.8427572485228809,0.7712055528772882,0.7850949147734468,0.561454313706397,0.9150223933438703,"7, 9, 11, 12, 18","5, 17"
0.77700151984398,0.8687058050241241,0.6704749847294383,0.811891961046382,0.8490989076410405,0.723664169545142,0.564558217036432,0.9264577583341692,"7, 9, 11, 12, 17","5, 18"
0.773983967736945,0.8240467640457501,0.4998721896777508,0.840963073068342,0.7448460976339117,0.7648426762259207,0.4061543226249819,0.9381989350082869,"5, 11, 12, 17, 18","7, 9"
0.799440732671985,0.8678529312529708,0.5943163734298313,0.842504845577505,0.8159116434116266,0.7604872766980435,0.5028390893978378,0.9476414166359992,"5, 9, 12, 17, 18","7, 11"
0.7806155251366386,0.8290769446377608,0.5131373621387902,0.8381896087307116,0.7426242488402262,0.7625026844244276,0.42841906316473494,0.9352758330963414,"5, 9, 11, 17, 18","7, 12"
0.8027741190878419,0.840085728011133,0.5531939193263521,0.8508890399049214,0.7499563083691865,0.7900008456839513,0.48378402137661514,0.9237418498022475,"5, 9, 11, 12, 18","7, 17"
0.7931016233318955,0.8512340162985129,0.6455660211666253,0.8334486180431592,0.7968123621030785,0.7664355083556249,0.558119767364359,0.9173571669278919,"5, 9, 11, 12, 17","7, 18"
0.8021019558538047,0.8602522467918687,0.5871451392054137,0.8529494961520792,0.7946048793302236,0.7867080709762059,0.5080003770352041,0.9352975768933367,"5, 7, 12, 17, 18","9, 11"
0.7991542239805094,0.8382147903432923,0.5596051885952094,0.8586877174116865,0.7228751971655194,0.8006733894411969,0.4830026552911728,0.9289691604171437,"5, 7, 11, 17, 18","9, 12"
0.8045983661896592,0.838995580755503,0.5843634483074044,0.8606240672008239,0.6990142128850918,0.8220367995771086,0.5370759072128302,0.9070788198715374,"5, 7, 11, 12, 18","9, 17"
0.7837228520487678,0.8489327374371053,0.6001313477305212,0.8397735885544082,0.8078138015563232,0.7588843992931958,0.4868223639511958,0.9421960660671603,"5, 7, 11, 12, 17","9, 18"
0.808974244950282,0.8689253695201803,0.5969759450084586,0.851058782059907,0.8065439223957787,0.7806672389398598,0.5208224567166398,0.9395514659415494,"5, 7, 9, 17, 18","11, 12"
0.8277155217110241,0.8755042898309735,0.6278810068324658,0.8638515559557041,0.8163322348828433,0.8027427061151684,0.5604888732267181,0.9376009441882746,"5, 7, 9, 12, 18","11, 17"
0.8248333496554988,0.9018989602516274,0.7172668613361077,0.8516065369152557,0.8758432502577298,0.780740675042211,0.6315045841336067,0.9389339737069315,"5, 7, 9, 12, 17","11, 18"
0.8230064511413181,0.856372562401911,0.6188148093441861,0.866024381475316,0.7571506193953859,0.8223648366600722,0.5586479737520015,0.9185598620216624,"5, 7, 9, 11, 18","12, 17"
0.8041394533462543,0.859209639263008,0.6437597645726612,0.8458462360885182,0.8114155598067854,0.7749285965627439,0.5474057280551834,0.9324650064581549,"5, 7, 9, 11, 17","12, 18"
0.8116052377305065,0.8664124773662245,0.6549103389530291,0.8508736323883392,0.8217172380121797,0.7802721069500657,0.558875706260509,0.9368537055897225,"5, 7, 9, 11, 12","17, 18"
0.7625705902974921,0.8213042071815688,0.49608526589467034,0.8293220575513446,0.7410177882000227,0.7464147472200909,0.40704550363165787,0.9372793150035843,"11, 12, 17, 18","5, 7, 9"
0.7885072923923803,0.8694824449905469,0.6171309620477675,0.8246519979040564,0.8218049767515612,0.735511850784623,0.5328215600253516,0.9416020148052253,"9, 12, 17, 18","5, 7, 11"
0.7695335759071877,0.8298413279158043,0.5209298285775582,0.8216843367555408,0.7600392447154063,0.7321731345410877,0.431313951981251,0.9388652141213695,"9, 11, 17, 18","5, 7, 12"
0.7957347417885419,0.8363830410546579,0.5598918327319864,0.8383133662708693,0.7642945917983164,0.7651468661854558,0.4904387306027135,0.9285690889648125,"9, 11, 12, 18","5, 7, 17"
0.7796205709038287,0.8581591556822543,0.6632145194697193,0.8124117503993342,0.8269064235965223,0.7275383685448539,0.5671020886515444,0.9229736263748151,"9, 11, 12, 17","5, 7, 18"
0.7994679267702338,0.8622188145159079,0.6298033592870236,0.8443753557849809,0.8033427380650203,0.7777920740238452,0.5603692398803589,0.9284503849158201,"7, 12, 17, 18","5, 9, 11"
0.7823247411820434,0.8396253831678675,0.5242921326768804,0.8450273143898586,0.7059280194799599,0.779430278950832,0.4534187520160987,0.9286416650962726,"7, 11, 17, 18","5, 9, 12"
0.7995155314763932,0.842734062982297,0.5633348309404722,0.8555212623488839,0.7394047891930648,0.8002687905320754,0.4987493954124853,0.9239654232234802,"7, 11, 12, 18","5, 9, 17"
0.7786610929107278,0.8643618376628726,0.6272483138461605,0.8303431926295715,0.8628657002193272,0.7408290087274471,0.5125908243121732,0.9467289336459197,"7, 11, 12, 17","5, 9, 18"
0.8060976741960038,0.8727733954842615,0.6446644982036615,0.8398984992238231,0.8213965056199293,0.7682069063439108,0.5768901554307059,0.9309805535429441,"7, 9, 17, 18","5, 11, 12"
0.8221105262620129,0.8763410846585433,0.6675964556178027,0.8481696720970278,0.8167870704727925,0.7856274960104451,0.6148659375428648,0.9254225292934573,"7, 9, 12, 18","5, 11, 17"
0.8184538173117962,0.9144585980585163,0.7927286398614705,0.8316262343319625,0.9054948908078806,0.7570646468117326,0.7100674496212895,0.9261293273095859,"7, 9, 12, 17","5, 11, 18"
0.7983703401269522,0.8567269461550283,0.5849309592441486,0.8404460822328679,0.7626972507462153,0.779040387587202,0.517376798297408,0.9205933702796882,"7, 9, 11, 18","5, 12, 17"
0.78509034347001,0.8709585401584395,0.6666232389349956,0.8185668761257575,0.8501194494320544,0.7335641604430995,0.5643450965155481,0.9279981428932181,"7, 9, 11, 17","5, 12, 18"
0.803450120270006,0.8772191952216982,0.686588669285334,0.8335228723655422,0.8612720814813801,0.7532831205052641,0.5903721918500914,0.9340130712218919,"7, 9, 11, 12","5, 17, 18"
0.7838279107551823,0.8465798484892282,0.5277484516061488,0.8445495148649869,0.788786051636519,0.7608308397995495,0.42553674437376493,0.9529711391567826,"5, 12, 17, 18","7, 9, 11"
0.7613586679580088,0.8032557179335569,0.4227473976123184,0.84112730317665,0.7058300113139492,0.7580892097648763,0.321476558622193,0.948896328143705,"5, 11, 17, 18","7, 9, 12"
0.7902115562633107,0.8156177936049318,0.4728172406151644,0.8585798423215873,0.7115601887653513,0.791829904556578,0.3912265055259541,0.9394362134306016,"5, 11, 12, 18","7, 9, 17"
0.7859115320164123,0.8375240379716453,0.5904581123190298,0.8428736231214021,0.8023123191714204,0.7659867863584718,0.4783436847037871,0.9407693534630622,"5, 11, 12, 17","7, 9, 18"
0.7907900777658659,0.8601201561491177,0.5432382330560944,0.8404983917844845,0.7994009918930169,0.7523241988915157,0.44379970317935336,0.9551053597323202,"5, 9, 17, 18","7, 11, 12"
0.820501923890939,0.8678397277544352,0.592176781114775,0.8597477095888455,0.7990105121824185,0.7890573816348119,0.5147797439499824,0.945489238798958,"5, 9, 12, 18","7, 11, 17"
0.810797691809999,0.890494415893179,0.6971088873924489,0.8397036628147476,0.8758374029266023,0.7585136358256056,0.5959623706986718,0.94355885481403,"5, 9, 12, 17","7, 11, 18"
0.7992697650658348,0.8232994336837895,0.49748794830507326,0.8557934450629183,0.7239480569886371,0.7907934039629319,0.4222894936944971,0.9343219099798027,"5, 9, 11, 18","7, 12, 17"
0.7902721521092463,0.844358428343614,0.607366548536663,0.8365992618756134,0.7903945891108726,0.7625028132360545,0.5076923378458515,0.9308155116912995,"5, 9, 11, 17","7, 12, 18"
0.8086578420679604,0.8538486727447989,0.6380270980866223,0.8453725364223788,0.7758416191425519,0.7860389823466155,0.558891187105185,0.9144381211750495,"5, 9, 11, 12","7, 17, 18"
