accuracy,auc,f1_0,f1_1,hyperparameters,iteration,precision_0,precision_1,recall_0,recall_1,train_percentage
0.7975475897757314,0.8391799538034842,0.6193476257384157,0.8621031257354591,"{""min_samples_split"": 0.2, ""max_features"": ""sqrt"", ""max_depth"": 25, ""min_samples_leaf"": 0.1}",0,0.8878541107164515,0.7769797657922516,0.4755353455675939,0.9681729894524623,0.01
0.7866194183962909,0.8488236091050662,0.6935478286960636,0.8363277758944805,"{""min_samples_split"": 0.2, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 1}",1,0.6902738215565561,0.8384517468517122,0.696853041441525,0.8342145386582727,0.01
0.8005367660648137,0.8490010726305276,0.6752743874520886,0.8560610014206606,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 1000, ""min_samples_leaf"": 1}",2,0.7744239078252521,0.8100876856048551,0.5986315667401136,0.907566331423513,0.01
0.7975636606159953,0.8355791563157295,0.6190440186901756,0.8621578293674459,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 0.2}",3,0.888565723215836,0.7768925088499502,0.47497389488339714,0.9684465422720456,0.01
0.7940441465982049,0.8454031278714548,0.6890385198665454,0.8460350927778078,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 0.1}",4,0.7221289797579087,0.8272657856093979,0.6588478225563212,0.865675861729852,0.01
0.793481667188969,0.8444338731911258,0.6859335475908251,0.8461616736000959,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 0.1}",5,0.7249386542683715,0.8244337135792101,0.6509114522937056,0.869065915825454,0.01
0.8075436524198668,0.8540064193029488,0.6909827499451663,0.8602552059326335,"{""min_samples_split"": 0.2, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 1}",6,0.7781135584355204,0.8187926917309934,0.6214002274151255,0.9061409115492404,0.01
0.7864828162540478,0.8394895973260854,0.6548194336191219,0.8454379413441292,"{""min_samples_split"": 0.2, ""max_features"": ""sqrt"", ""max_depth"": 25, ""min_samples_leaf"": 1}",7,0.744865088512575,0.8020240144793184,0.5841967410703938,0.8938208742282242,0.01
0.7329829890155807,0.7563323770742825,0.6071546791507069,0.7977603310814924,"{""min_samples_split"": 0.1, ""max_features"": ""sqrt"", ""max_depth"": 100, ""min_samples_leaf"": 0.1}",8,0.6192933799590016,0.7897908030463704,0.5954826890522459,0.805892334554755,0.01
0.7886041671688804,0.8323251166684237,0.6712157568486302,0.8442225932899895,"{""min_samples_split"": 2, ""max_features"": ""sqrt"", ""max_depth"": 25, ""min_samples_leaf"": 0.1}",9,0.7279676868443168,0.8141502969392417,0.6226725717068194,0.8766016576080273,0.01
0.8038619673256797,0.863462406122532,0.6491409397983792,0.8638854506255702,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 1}",0,0.8551920116825197,0.7900386888312572,0.5231036647192313,0.9529609353966076,0.05
0.8099915425260213,0.8696505046640323,0.6814806496441557,0.8646145952041431,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 1}",1,0.8128181087597107,0.8090489855622676,0.5866827794561934,0.9283755733798017,0.05
0.8065331893050636,0.8639280927503261,0.7010816125860374,0.8569854534199939,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 1}",2,0.7543293056406258,0.8289881800653869,0.6548557064823319,0.8869399208169436,0.05
0.7992647859254235,0.8666167767470142,0.7125107934375898,0.8457975787672555,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 1}",3,0.7066127497621313,0.8496013233222626,0.7185081269349846,0.8420277418445893,0.05
0.804054563267767,0.8528971640911925,0.6995300341559876,0.8546258790785517,"{""min_samples_split"": 0.2, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 1}",4,0.7454162333752942,0.8299086620253623,0.6589655506096381,0.8808606006275213,0.05
0.8053608661793152,0.8671905853373337,0.6873789541639768,0.8586904979026081,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 1}",5,0.7738946093276802,0.8173863728429069,0.6182618794154651,0.9043911434388966,0.05
0.804774704616441,0.8518489852326689,0.6951302437493462,0.8564143622590379,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 0.1}",6,0.7568052391799545,0.8247588996571809,0.6427500483652544,0.8905967797717403,0.05
0.8031836946600681,0.8534503669604827,0.6970275077986027,0.8542514138307372,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 0.1}",7,0.7455192191032923,0.8283326318321207,0.654458752904725,0.8818446017744435,0.05
0.8014419574446705,0.8650010270229891,0.6847143920859483,0.8550912402068029,"{""min_samples_split"": 0.1, ""max_features"": null, ""max_depth"": 25, ""min_samples_leaf"": 1}",8,0.759998819327607,0.8178555563348998,0.6230007984708075,0.8958792193822671,0.05
0.797832876964688,0.8586644440889244,0.6787230361824158,0.8525122942056874,"{""min_samples_split"": 0.1, ""max_features"": ""sqrt"", ""max_depth"": 1000, ""min_samples_leaf"": 1}",9,0.7555700402939085,0.8144836521962436,0.6160647421186134,0.8942660138928049,0.05
