accuracy,auc,f1_0,f1_1,participant,precision_0,precision_1,recall_0,recall_1,train_percent
0.8881443298969072,0.894576070452475,0.5783678756476683,0.9355190174326466,5,0.721324717285945,0.9079984618342627,0.4827027027027027,0.9647599591419816,0.1
0.9133082052768918,0.9396497562788164,0.7040580666446717,0.9492158749929231,5,0.7535310734463276,0.9386406897323928,0.6606811145510836,0.9600320659642694,0.2
0.9152860614093219,0.9437759676655473,0.7113285660519384,0.9503592000517765,5,0.7961246840775064,0.9332655395957798,0.6428571428571429,0.9680907172995781,0.3
0.9318298969072165,0.9589122059253068,0.7688947138488421,0.960018139218502,5,0.8396946564885496,0.9462157330154947,0.709105560032232,0.9742291762540267,0.4
0.9400030926240915,0.9680451272108791,0.7949260042283298,0.9648614381452635,5,0.8439955106621774,0.9553443328550932,0.7512487512487512,0.9745700695206733,0.5
0.8801479518604395,0.9447167566693165,0.8463878865067572,0.9017424756732292,7,0.8762086141224729,0.8825301204819277,0.8185301765430409,0.9218099380031461,0.1
0.8912489907459163,0.9538920999496865,0.8629568756359083,0.9098584298584299,7,0.8746628589560527,0.901918758930394,0.8515600864998455,0.9179391295315259,0.2
0.8994960607566186,0.9625158845401189,0.8715296679368536,0.9174632781534157,7,0.8927509293680297,0.9036628774830635,0.8512938674228997,0.9316917248727359,0.3
0.9044385558131832,0.9659029815939751,0.8780384696681464,0.9214431586113002,7,0.9105655414291978,0.9007186585041256,0.8477551020408163,0.9431438127090301,0.4
0.9121534333697704,0.9695368335824297,0.8884683320716629,0.9275409836065575,7,0.9081764250709311,0.9146459747817652,0.8695974314645591,0.9408047888260725,0.5
0.8760935106014927,0.9500780606354796,0.8761547201501753,0.8760322405182218,9,0.8911667169128731,0.8615055436685469,0.8616401088223863,0.8910572377024444,0.1
0.8914095079232693,0.9612939193517341,0.8920815604796375,0.8907290326190342,9,0.898586218412557,0.8842479449011331,0.8856703971911345,0.8973058279788073,0.2
0.9048103196289,0.9690067493560943,0.9053336703741152,0.9042811501597445,9,0.9172749391727494,0.8925327951564077,0.89369931378665,0.9163429163429163,0.3
0.9132626584624509,0.9748209278118224,0.9141095287035679,0.9123989218328841,9,0.9263502454991817,0.9002659574468085,0.9021880886827996,0.924863387978142,0.4
0.9182457076772529,0.9756344624527026,0.920107797965748,0.9162947445122506,9,0.9224333275230957,0.9138808139534884,0.9177939646201873,0.9187214611872146,0.5
0.850919978751147,0.8917860725595839,0.6642010225171325,0.9041929176623942,11,0.7029702970297029,0.8901857736494745,0.6294845360824742,0.9186479157469887,0.1
0.8674888623275019,0.9104636209797311,0.6966040552307501,0.9152330309665312,11,0.7621121393576483,0.8937686668476785,0.6414662084765178,0.9377537212449256,0.2
0.8812170133498913,0.9271178256560537,0.7335283465663742,0.9235747672885621,11,0.7714620568414884,0.9107311692404665,0.6991502920870951,0.936785801118405,0.3
0.8939514668598334,0.9383737364009899,0.7655349135169763,0.9314799213704015,11,0.7969323107702567,0.9208772903942254,0.736517719568567,0.9423295454545455,0.4
0.900904033379694,0.9486507215568688,0.7778643803585347,0.9362273439248154,11,0.8265010351966874,0.9206733414016943,0.7346337872653662,0.9523159212472971,0.5
0.8634194972584206,0.92816067349545,0.8056737588652482,0.894707949055775,12,0.8147540983606557,0.8893375532030994,0.7967935871743487,0.9001435988070253,0.1
0.8807978851237683,0.9468396655929123,0.8317883789283291,0.9076923076923078,12,0.8368971792538672,0.9046618028935328,0.8267415730337079,0.9107431843644964,0.2
0.8912386706948641,0.9560357464074456,0.845593969326748,0.916054267947993,12,0.8556023145712782,0.9102654121612133,0.8358170606372045,0.9219172237235101,0.3
0.8967101046784876,0.9574746248237629,0.8517098604508511,0.9207571908547079,12,0.8702601065496709,0.9103872954140334,0.8339339339339339,0.9313660477453581,0.4
0.902589079723148,0.9615148062987813,0.8608568290003663,0.9250640899230921,12,0.8710633567988144,0.9192631785224378,0.8508867173362288,0.9309386783091883,0.5
0.8481255448997385,0.9265231686121482,0.8528467646561919,0.8430913348946135,17,0.8615804744837003,0.834075922295491,0.844288342532196,0.8523037698051357,0.1
0.8835817967830522,0.9539701572075673,0.8886387090721456,0.8780437686222131,17,0.8807885437976567,0.8866984851628968,0.896630064369557,0.8695563695563695,0.2
0.8909315099204125,0.9584624447729087,0.8951847463104601,0.8863184951513027,17,0.8887700534759359,0.8933113518605746,0.9016927083333334,0.8794342684906098,0.3
0.9027069438995684,0.9679475263635969,0.9046887009992313,0.9006410256410255,17,0.9183355006501951,0.8869016307206733,0.8914415551628376,0.9148128052088985,0.4
0.9118016321406152,0.9724104134932021,0.9155141310883945,0.9077478660538411,17,0.9204957678355502,0.9024151436031331,0.9105861244019139,0.9131439894319683,0.5
0.8347410076191601,0.8692639753815877,0.6192161132280892,0.8944708455910084,18,0.663458734324876,0.8782402607021182,0.5805052309262567,0.9113126344912389,0.1
0.8555481727574751,0.8936066890569473,0.6456975228161669,0.9092805875479887,18,0.7584226646248086,0.8759446856407782,0.5621452894438138,0.9452542078778414,0.2
0.8725036069557294,0.9181986167880906,0.6922089825847847,0.919599674376287,18,0.7850311850311851,0.8920475659606094,0.6190163934426229,0.9489079948611523,0.3
0.8870481927710844,0.9286816042844613,0.7377082904752109,0.9280270956816257,18,0.80802163136548,0.9063843863711545,0.6786525359576079,0.9507286606523248,0.4
0.8909206889219647,0.9339451533837921,0.7410398788490662,0.930909090909091,18,0.8052660449808009,0.911512593960174,0.68630201028518,0.9511490298610156,0.5
