accuracy,auc,f1_0,f1_1,hyperparameters,participant,precision_0,precision_1,recall_0,recall_1,train_percent
0.8255154639175257,0.6535566755665989,0.0,0.9044190314838345,"{""C"": 0.1, ""max_iter"": 100}",5,0.0,0.8255154639175257,0.0,1.0,0.1
0.813375857736542,0.6374497147796705,0.0,0.8970846879496882,"{""C"": 0.1, ""max_iter"": 100}",5,0.0,0.813375857736542,0.0,1.0,0.2
0.7951181798100287,0.6908771022030987,0.0,0.8858672245123977,"{""C"": 0.1, ""max_iter"": 100}",5,0.0,0.7951181798100287,0.0,1.0,0.3
0.7701030927835052,0.763537614583896,0.0,0.8701223063482819,"{""C"": 0.1, ""max_iter"": 100}",5,0.0,0.7701030927835052,0.0,1.0,0.4
0.7363537961960723,0.7581881734799322,0.0,0.8481610116662213,"{""C"": 0.1, ""max_iter"": 100}",5,0.0,0.7363537961960723,0.0,1.0,0.5
0.6176438114165839,0.46324035401715513,0.32587113101031734,0.7331432534484088,"{""C"": 0.1, ""max_iter"": 100}",7,0.6585365853658537,0.6109684048291806,0.2165028453181583,0.9163937584280486,0.1
0.7383392335879759,0.7768696764471155,0.6832092638544252,0.7771253240226419,"{""C"": 1.0, ""max_iter"": 100}",7,0.6002906976744186,0.8607758115551388,0.7927063339731286,0.7082931533269046,0.2
0.80608985733551,0.7928641865062783,0.6876286302309628,0.8594071634417456,"{""C"": 1.0, ""max_iter"": 100}",7,0.8383049902425426,0.795086650161874,0.5828648962977321,0.93505039193729,0.3
0.8106160980457106,0.8262626641524935,0.7057006820229056,0.8603870337586228,"{""C"": 0.5, ""max_iter"": 100}",7,0.9097544790975448,0.7776429044361068,0.5764137061173008,0.9628364530673589,0.4
0.8190400476994932,0.8616551536379062,0.7470482011390471,0.8591320491993503,"{""C"": 2.0, ""max_iter"": 500}",7,0.9177474402730376,0.7784943221645871,0.6298899039587725,0.9584052468070418,0.5
0.5725794494143231,0.6588807745752,0.6939627716045014,0.2916120576671036,"{""C"": 0.1, ""max_iter"": 100}",9,0.5517105559306774,0.7232832182039821,0.935056265496853,0.18262029342361752,0.1
0.6325827078120656,0.7156321087576513,0.5646903820816863,0.6821548821548821,"{""C"": 0.1, ""max_iter"": 500}",9,0.8282125603864734,0.553551912568306,0.4283858070964518,0.8885964912280702,0.2
0.7195780644341361,0.8383971757732918,0.7217352922630683,0.7173871277617675,"{""C"": 0.1, ""max_iter"": 100}",9,0.8700212830647613,0.6115296429741238,0.6166361383471609,0.8675650557620818,0.3
0.6913781599822078,0.8247148579123584,0.6842145186983236,0.6982239942007974,"{""C"": 0.1, ""max_iter"": 500}",9,0.9335541295797971,0.5562485562485563,0.5399904214559387,0.9375121666342223,0.4
0.7689707321412685,0.852366367250773,0.7838175310080746,0.751934282166396,"{""C"": 0.1, ""max_iter"": 1000}",9,0.9015702795863654,0.6539292241236085,0.6932705050802532,0.8844943820224719,0.5
0.7172453759598203,0.6480129550830989,0.47960181317216244,0.8058880084872195,"{""C"": 1.0, ""max_iter"": 500}",11,0.4498916124729031,0.8262406526172672,0.5135135135135135,0.7865139455121983,0.1
0.7088992719765294,0.7001148072057284,0.46226415094339623,0.800432061978546,"{""C"": 2.0, ""max_iter"": 1000}",11,0.46553466747523753,0.7983505461029794,0.4590392664939207,0.8025244603779221,0.2
0.7436199937907482,0.7287620033708005,0.26725820763087843,0.8446284101599247,"{""C"": 0.1, ""max_iter"": 500}",11,0.8685121107266436,0.7365139782123639,0.1579278523489933,0.9899444297433183,0.3
0.7374139804418689,0.6892856926437029,0.25118777112166907,0.8407923053274188,"{""C"": 0.1, ""max_iter"": 100}",11,0.8503496503496504,0.7312452253628724,0.14735821619001455,0.9889451389606364,0.4
0.7553025034770514,0.6878947981807294,0.26597131681877445,0.8531789495644917,"{""C"": 0.1, ""max_iter"": 100}",11,0.865874363327674,0.7493357764544205,0.15711645101663585,0.9904335190118673,0.5
0.6773481449832657,0.7437154811368456,0.308138647121698,0.7896178669266843,"{""C"": 2.0, ""max_iter"": 500}",12,0.9049327354260089,0.6577196782178217,0.18568273831431725,0.9876873039842026,0.1
0.6557718497156132,0.6568816817646368,0.3330746546639764,0.7680181396102144,"{""C"": 0.1, ""max_iter"": 1000}",12,0.83828125,0.6349192180665894,0.20782490799922526,0.9717213114754099,0.2
0.6532088254142635,0.6189572393906606,0.5117298272750709,0.7311186825667235,"{""C"": 0.1, ""max_iter"": 1000}",12,0.5969924812030075,0.6778099499868386,0.4477780284231897,0.7935285053929122,0.3
0.6688741721854304,0.6508010763629023,0.5098039215686275,0.75,"{""C"": 0.1, ""max_iter"": 1000}",12,0.6758909853249476,0.666475562562706,0.40924092409240925,0.8574589710492347,0.4
0.7207126377851832,0.7782185756383089,0.5941516111007636,0.7871030776746458,"{""C"": 0.1, ""max_iter"": 500}",12,0.7139659803043867,0.7234195402298851,0.5087719298245614,0.8630812084851082,0.5
0.6401918047079337,0.7008491785851656,0.7138598072523054,0.5154397088176588,"{""C"": 0.5, ""max_iter"": 100}",17,0.6080075587575292,0.7309357309357309,0.8643384822028207,0.3980776206021037,0.1
0.6518242448018831,0.7217622576081821,0.7113351764514556,0.5614035087719298,"{""C"": 0.5, ""max_iter"": 1000}",17,0.6168382456635171,0.7317230273752013,0.8400230458997503,0.4554018841451193,0.2
0.624593655419796,0.7378923080000889,0.6944621841072894,0.5132974858305479,"{""C"": 0.1, ""max_iter"": 500}",17,0.5893465469185506,0.7170117742590337,0.8452143015767266,0.39972838388411047,0.3
