accuracy,auc,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,test_participants,train_participants
0.7745117748420448,0.8617682132570224,0.6595998352517829,0.8314206271672268,0.8392541924095323,0.7517277527566393,0.5432989322572581,0.9300141700891035,"9, 12, 17, 18","5, 7, 11"
0.7717018846373501,0.8344780789780086,0.6381236498302644,0.8332527516282243,0.746941527791157,0.7808357911943428,0.5569802104658262,0.8932135525700697,"9, 11, 17, 18","5, 7, 12"
0.7699710899465602,0.8209469267083613,0.6136707583655624,0.8362291722355877,0.7020294315667981,0.7938723375458898,0.5450675827048017,0.8833606295062216,"9, 11, 12, 18","5, 7, 17"
0.748046319496174,0.8404187674020325,0.6009738100855838,0.8159011964492475,0.7978699168470214,0.7325017325017324,0.48202181467845717,0.9207317073170732,"9, 11, 12, 17","5, 7, 18"
0.8006836590621981,0.8690484528522657,0.7074070033816952,0.8488645968332676,0.7650778669183577,0.8170517409697364,0.6578210590383445,0.8832551594746717,"7, 12, 17, 18","5, 9, 11"
0.7908259583071136,0.8416043530754742,0.6509996649167876,0.8506590959058626,0.718491124260355,0.8177874983918102,0.5950990402287114,0.8862839614373357,"7, 11, 17, 18","5, 9, 12"
0.7866224789807603,0.8285823317846481,0.620002296474911,0.851664261189949,0.6708911087918096,0.8271718877879743,0.5762892759562842,0.8776513191929644,"7, 11, 12, 18","5, 9, 17"
0.8013150531617236,0.8606118537525771,0.6744601842937697,0.8570278051825155,0.8209363316779198,0.7947497152672753,0.5723400116708811,0.9298962315674495,"7, 11, 12, 17","5, 9, 18"
0.7897738764613081,0.8663355534373217,0.7285169513660346,0.8284761873329154,0.777715815302253,0.7966359885750556,0.6851724476761325,0.8629675467546755,"7, 9, 17, 18","5, 11, 12"
0.7834644646983978,0.8584294175510283,0.7164666281323315,0.8248513998865808,0.7179067865903516,0.823830501363541,0.7150322361723787,0.8258748317631225,"7, 9, 12, 18","5, 11, 17"
0.7910618146968459,0.881492674887822,0.7316790646323142,0.8289232260521365,0.8601276595744681,0.7568592742445316,0.6366098705552581,0.9161543759406168,"7, 9, 12, 17","5, 11, 18"
0.7670149006230308,0.8228013023690317,0.652362942278463,0.8247973634987084,0.6767380463479026,0.8100920320537495,0.629682702149437,0.8400464474925612,"7, 9, 11, 18","5, 12, 17"
0.7863268587763853,0.861965284995093,0.7040147082221083,0.8328190995416829,0.7972453555413197,0.7812183882207485,0.6303060998385616,0.8917185194688563,"7, 9, 11, 17","5, 12, 18"
0.781856015366241,0.8534138025094327,0.699421474984307,0.828806369636007,0.7254777742582621,0.8121922581622605,0.6751719620045856,0.8461143883046935,"7, 9, 11, 12","5, 17, 18"
0.7981594887838648,0.8480790727234828,0.6328661803432515,0.8608213707872905,0.7236104381532498,0.8217548471902728,0.5623453469607316,0.9037877692641318,"5, 12, 17, 18","7, 9, 11"
0.7724605902572004,0.8105557196382853,0.5849862184510619,0.8432633233319047,0.582687338501292,0.8445216680294358,0.5873033098209441,0.8420087229446053,"5, 11, 17, 18","7, 9, 12"
0.7787221945846067,0.802380043870991,0.5500578034682081,0.8532843275845821,0.5522604607974,0.852176040960771,0.5478726466693534,0.8543955006982976,"5, 11, 12, 18","7, 9, 17"
0.7852598503585484,0.835190990757733,0.6111815237290523,0.8516691916749938,0.6843267108167771,0.8183019491245458,0.5521628498727735,0.8878732889755135,"5, 11, 12, 17","7, 9, 18"
0.7758249962669852,0.8487080928022424,0.6533354884891588,0.8343539328941998,0.7512612182040252,0.7854338478157004,0.5779947703873182,0.8897726737892409,"5, 9, 17, 18","7, 11, 12"
0.7893711781638001,0.8465740826595494,0.6572041206358086,0.8479824706466015,0.7233594992560669,0.8149310659938813,0.6021353833013026,0.8838281552979704,"5, 9, 12, 18","7, 11, 17"
0.7690594564075218,0.8599293527130216,0.6554991460590038,0.8263131199943383,0.8217868246612308,0.7498180417005609,0.5451821295143213,0.920189150137922,"5, 9, 12, 17","7, 11, 18"
0.7736330325120091,0.8214199767268633,0.6210962051104224,0.8386060466189706,0.6261032945905793,0.8357591035383738,0.6161685658998065,0.8414724517395976,"5, 9, 11, 18","7, 12, 17"
0.7783460970982927,0.8374449149642994,0.6507085916740478,0.8376659462797159,0.7487260497350183,0.7896237946489203,0.5753837719298246,0.8919327620592167,"5, 9, 11, 17","7, 12, 18"
0.765900248568032,0.8306340622445099,0.6226838243299149,0.8303091430753714,0.6665578966996084,0.8064368865555809,0.5842288049029623,0.8556378534380109,"5, 9, 11, 12","7, 17, 18"
0.7956356883076685,0.8627427712759408,0.6879209699146833,0.8480734493827444,0.6866713847605568,0.848825426070935,0.6891751112794772,0.8473228038715314,"5, 7, 17, 18","9, 11, 12"
0.7905415419272609,0.8533069683641116,0.6676230568425013,0.847090135999221,0.6318554131054132,0.8697400577649411,0.7076831031560054,0.8255899782778329,"5, 7, 12, 18","9, 11, 17"
0.8072338207992704,0.8758498598186525,0.7227933772042808,0.8522425135125014,0.7578451112311545,0.8317374460931218,0.6908407198495836,0.8737841711886967,"5, 7, 12, 17","9, 11, 18"
0.7747535991880125,0.8352016504429982,0.6207671898187704,0.8398016755000856,0.5616633437767018,0.8788692073716229,0.6937729305925516,0.8040595842200032,"5, 7, 11, 18","9, 12, 17"
0.7969771835489028,0.855480603132091,0.675644299976782,0.8522474881015336,0.6964388282596209,0.8408113861179515,0.6560555505455857,0.8639989706639217,"5, 7, 11, 17","9, 12, 18"
