accuracy,auc,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,test_participants,train_participants
0.7545955148838818,0.8167860813517722,0.6129099937058534,0.8203517017091742,0.7306743146801841,0.7632599321149456,0.527837336481245,0.8866748989672205,"7, 9, 11, 12, 17, 18",5
0.7340784239439287,0.7858575126224657,0.5162146328014612,0.8166477280148374,0.6633746678476528,0.7533132530120482,0.4224911152479269,0.8916093888144198,"5, 9, 11, 12, 17, 18",7
0.6834972148219908,0.7651029727250365,0.5847557798141817,0.744300349844644,0.4938282205954962,0.8394830691006674,0.7167248255234298,0.6685037045368275,"5, 7, 11, 12, 17, 18",9
0.7123827885373762,0.7802298164620289,0.5638731396172928,0.7854434517324036,0.6454066112350436,0.7394854540232243,0.5006292276230927,0.8374924485338539,"5, 7, 9, 12, 17, 18",11
0.7715139460323516,0.8327950265533219,0.6775776994553028,0.8230635598286692,0.660140349124691,0.8351698544105053,0.6959612448001685,0.8113032265220949,"5, 7, 9, 11, 17, 18",12
0.624360404383775,0.7095588781819376,0.5254163357976087,0.6891651344560591,0.4474947609068394,0.777880672046567,0.6361962027030688,0.6186136426401546,"5, 7, 9, 11, 12, 18",17
0.7050442494433738,0.7516824958730309,0.5440821343359121,0.7820068725671182,0.6280839982639469,0.7350047438946725,0.4798989847456762,0.8354310701412279,"5, 7, 9, 11, 12, 17",18
0.7339039580342591,0.7951315685056703,0.5318369129683435,0.8141290006408566,0.7275419545903258,0.7355722070844687,0.4191009218244942,0.9114712585464675,"9, 11, 12, 17, 18","5, 7"
0.7581402560581225,0.8006468708704335,0.6109666155983896,0.8245239051828043,0.6575153374233129,0.7990095309287983,0.5705729686564185,0.8517215046980311,"7, 11, 12, 17, 18","5, 9"
0.7628500768665196,0.8276804448526554,0.6880696304545321,0.8087090918893661,0.7303863622223605,0.7809614717112113,0.650387811634349,0.838501099392539,"7, 9, 12, 17, 18","5, 11"
0.7509210661726871,0.8160541852058765,0.6512184226074677,0.8062938686002865,0.6754252234478223,0.7905582497606605,0.6286867000556483,0.8226686264902825,"7, 9, 11, 17, 18","5, 12"
0.7583900668806046,0.8082077693573113,0.6478097403165166,0.8161234365014152,0.6587144000237086,0.8091301330597713,0.6372602425528254,0.8232386799693016,"7, 9, 11, 12, 18","5, 17"
0.7596662445056992,0.8135658036122524,0.6594480470517267,0.8143110877216064,0.7500514579759863,0.7639906805943436,0.5883745963401507,0.8717276104293938,"7, 9, 11, 12, 17","5, 18"
