accuracy,auc,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,test_participants,train_participants
0.76153519,0.792936364,0.477521547,0.845512776,0.766068759,0.760783342,0.346869712,0.951480391,18,"5, 7, 9, 11, 12, 17"
0.811833019,0.92999098,0.804945502,0.81825072,0.932177845,0.725927918,0.70827369,0.937478291,17,"5, 7, 9, 11, 12, 18"
0.832991541,0.886827257,0.77184381,0.868290711,0.855590062,0.821852277,0.703030303,0.920291408,12,"5, 7, 9, 11, 17, 18"
0.763299722,0.783286082,0.357934449,0.854904886,0.76281407,0.763345704,0.233826248,0.971421652,11,"5, 7, 9, 12, 17, 18"
0.817009163,0.918293065,0.829280438,0.802837151,0.950171168,0.699983286,0.735679576,0.941123596,9,"5, 7, 11, 12, 17, 18"
0.840604194,0.907474194,0.798188223,0.868287075,0.862190813,0.82816416,0.743031155,0.912495685,7,"5, 9, 11, 12, 17, 18"
0.83438998,0.87770054,0.618453865,0.894243112,0.787658802,0.843988816,0.509090909,0.950860983,5,"7, 9, 11, 12, 17, 18"
,,,,,,,,,
0.808808973,0.870929783,,,,,,,,
